Crossover
0.5	sat_c50_v21_vc3.inst	118.543	0.145885	0.666075
0.6	sat_c50_v21_vc3.inst	95.3494	0.0793632	0.397869
0.7	sat_c50_v21_vc3.inst	93.477	0.144215	0.566607
0.8	sat_c50_v21_vc3.inst	94.2975	0.102164	0.422735
0.9	sat_c50_v21_vc3.inst	93.2918	0.109948	0.465364
1.0	sat_c50_v21_vc3.inst	91.9712	0.0963542	0.307087
Crossover type
one_point	sat_c50_v21_vc3.inst	102.039	0.117679	0.449378
two_point	sat_c50_v21_vc3.inst	96.7182	0.158822	0.692718
uniform	sat_c50_v21_vc3.inst	95.1128	0.115327	0.451155
Mutation
0.5	sat_c50_v21_vc3.inst	98.5611	0.124296	0.557726
0.6	sat_c50_v21_vc3.inst	99.1313	0.102282	0.396092
0.7	sat_c50_v21_vc3.inst	93.7242	0.0926172	0.28952
0.8	sat_c50_v21_vc3.inst	93.1631	0.104058	0.337478
0.9	sat_c50_v21_vc3.inst	92.8453	0.118816	0.493783
1.0	sat_c50_v21_vc3.inst	117.823	0.1141	0.516874
Elitism
0.5	sat_c50_v21_vc3.inst	83.0924	0.164888	0.566607
0.6	sat_c50_v21_vc3.inst	82.5792	0.110591	0.415631
0.7	sat_c50_v21_vc3.inst	91.2251	0.106201	0.439206
0.8	sat_c50_v21_vc3.inst	88.6578	0.0905532	0.44405
0.9	sat_c50_v21_vc3.inst	90.3405	0.102628	0.598579
1.0	sat_c50_v21_vc3.inst	94.3797	0.108433	0.420959
Počáteční populace
random	sat_c50_v21_vc3.inst	92.7152	0.124035	0.488455
0	sat_c50_v21_vc3.inst	91.1072	0.940386	0.992357
i	sat_c50_v21_vc3.inst	89.3066	0.64086	0.808707
random population	sat_c50_v21_vc3.inst	89.6984	0.648335	0.835092
Tournament size
/5	sat_c50_v21_vc3.inst	73.93	0.118294	0.499112
/4	sat_c50_v21_vc3.inst	77.8659	0.0913499	0.328784
/3	sat_c50_v21_vc3.inst	78.0724	0.110693	0.419954
/2	sat_c50_v21_vc3.inst	81.2502	0.156802	0.587922
/1	sat_c50_v21_vc3.inst	95.0347	0.154057	0.580817
Generation number
100	sat_c50_v21_vc3.inst	44.3406	0.0864311	0.445826
200	sat_c50_v21_vc3.inst	83.4756	0.0977118	0.492007
300	sat_c50_v21_vc3.inst	151.651	0.0932623	0.293073
400	sat_c50_v21_vc3.inst	176.259	0.109299	0.413854
500	sat_c50_v21_vc3.inst	217.67	0.115994	0.270544
Population size
100	sat_c50_v21_vc3.inst	91.132	0.0929369	0.342806
200	sat_c50_v21_vc3.inst	206.53	0.106869	0.477798
300	sat_c50_v21_vc3.inst	359.926	0.147117	0.637655
400	sat_c50_v21_vc3.inst	502.337	0.160179	0.566607
500	sat_c50_v21_vc3.inst	831.788	0.212451	0.692718
Met clauses
0.5	sat_c50_v21_vc3.inst	105.499	0.126757	0.548845
0.6	sat_c50_v21_vc3.inst	96.6251	0.134427	0.692718
0.7	sat_c50_v21_vc3.inst	100.543	0.0848498	0.349911
0.8	sat_c50_v21_vc3.inst	97.4975	0.123529	0.626998
0.9	sat_c50_v21_vc3.inst	102.265	0.236711	1
1.0	sat_c50_v21_vc3.inst	99.5836	0.985592	1
