556 101001111111111 16 32768 0.000488
494 110011111101111 31 32768 0.000946
540 011010111111001 29 32768 0.000885
480 111101011101011 38 32768 0.001160
612 011111111111100 34 32768 0.001038
655 111001001110011 14 32768 0.000427
440 000111111111101 15 32768 0.000458
640 110111110111100 18 32768 0.000549
442 110111111101101 49 32768 0.001495
669 110100011011011 44 32768 0.001343
568 110111101101110 31 32768 0.000946
648 111110001101011 119 32768 0.003632
577 101111011111011 8 32768 0.000244
541 101100001110110 14 32768 0.000427
501 011010111110001 29 32768 0.000885
448 001101100110110 6 32768 0.000183
570 011111111111001 85 32768 0.002594
0 000000000000000 0 32768 0.000000
526 010110100010111 46 32768 0.001404
691 011111011111111 116 32768 0.003540
517 100111101111010 26 32768 0.000793
564 010111111110101 52 32768 0.001587
741 111111111111011 35 32768 0.001068
700 111110011101111 105 32768 0.003204
532 111101011111111 162 32768 0.004944
480 001100111111110 26 32768 0.000793
319 010101111111001 24 32768 0.000732
582 111101011010111 44 32768 0.001343
486 111111000101111 4 32768 0.000122
416 101100011100001 9 32768 0.000275
678 111111011001111 45 32768 0.001373
647 111010110001111 9 32768 0.000275
492 010011011011111 11 32768 0.000336
407 000010010111111 4 32768 0.000122
617 111111011110100 46 32768 0.001404
428 001010111010101 27 32768 0.000824
544 111100111110101 35 32768 0.001068
415 001111001010011 12 32768 0.000366
677 111010100110111 70 32768 0.002136
509 110010100011101 10 32768 0.000305
457 001111001110111 70 32768 0.002136
537 001011101011011 18 32768 0.000549
502 011110000111111 42 32768 0.001282
424 001111010101001 10 32768 0.000305
490 111110110011001 69 32768 0.002106
388 001010001100111 14 32768 0.000427
653 110111011011100 7 32768 0.000214
612 111001101111101 35 32768 0.001068
521 001111000101011 145 32768 0.004425
363 011101110100011 68 32768 0.002075
