p cnf 15 40
4 99 46 100 33 94 71 74 18 58 58 93 82 6 88 0 12 4 14 0 -13 -3 -11 0 -2 -14 -8 0 6 9 -11 0 7 -3 -7 0 15 -5 10 0 -9 2 7 0 -11 -2 -13 0 -4 -2 10 0 4 13 -10 0 3 -5 13 0 -2 3 15 0 -6 -14 15 0 -1 10 -15 0 -3 4 -15 0 9 11 -12 0 1 -4 15 0 8 -3 15 0 -14 -15 -8 0 -15 8 7 0 9 -11 3 0 1 7 -3 0 1 -13 -10 0 5 8 -11 0 -10 -9 -4 0 -5 13 -4 0 10 11 5 0 -11 8 -11 0 -2 -6 11 0 10 4 1 0 3 -11 3 0 14 -9 -5 0 14 3 7 0 -8 5 8 0 -13 11 5 0 -15 -3 10 0 -11 -2 9 0 -10 -1 14 0 -15 -1 5 0 1 -10 -4 0 
88 22 34 50 89 25 93 15 85 84 16 63 72 65 70 0 -9 -15 5 0 6 2 9 0 -13 10 2 0 13 2 5 0 -3 -15 -1 0 -7 5 -14 0 -10 9 7 0 -10 -3 13 0 -7 1 11 0 -6 -10 -11 0 -2 11 2 0 -9 -5 -11 0 -6 -2 -12 0 15 -3 1 0 -7 2 -11 0 -2 4 -15 0 10 12 14 0 11 -10 -8 0 2 -1 -14 0 -9 6 -13 0 3 -7 15 0 5 -1 -14 0 10 -11 -3 0 9 8 12 0 7 10 -14 0 6 -13 -6 0 9 5 -3 0 -8 -2 15 0 -13 15 9 0 -10 15 -5 0 3 -6 -5 0 -11 -13 -8 0 15 9 10 0 -14 -4 3 0 -12 14 7 0 10 -15 13 0 -12 -7 10 0 3 4 -12 0 -15 -3 9 0 -13 -15 -2 0 
49 51 49 78 65 91 72 60 52 47 56 81 56 57 60 0 4 -13 -3 0 -14 -4 1 0 -6 -7 -3 0 2 -3 4 0 -3 4 -8 0 -9 1 15 0 -14 11 -4 0 -2 -1 -9 0 11 15 -13 0 7 -14 -3 0 -9 -7 -4 0 -12 15 12 0 10 -8 7 0 -12 7 -1 0 7 8 3 0 -4 1 7 0 -13 -1 -11 0 6 8 -6 0 -8 -4 10 0 11 1 -9 0 2 -3 -5 0 4 5 -7 0 -4 15 8 0 -7 -8 -12 0 -7 3 13 0 10 15 6 0 14 13 -4 0 8 7 -13 0 6 3 11 0 9 15 4 0 -11 6 11 0 -1 13 -10 0 5 -4 -7 0 -10 -4 -6 0 -3 -13 1 0 10 6 -2 0 12 2 11 0 12 10 -12 0 2 14 10 0 -1 -7 -14 0 
30 69 45 61 36 83 42 92 14 75 54 74 87 90 54 0 -13 -7 2 0 -7 4 -7 0 14 -15 -11 0 -2 -12 5 0 3 -7 12 0 5 -6 3 0 -14 -10 -8 0 -7 2 6 0 10 11 -13 0 2 12 6 0 -10 5 9 0 -11 1 -6 0 -11 -5 -11 0 -2 13 11 0 2 7 10 0 -13 -10 -9 0 7 9 -1 0 -14 -3 -6 0 -4 2 11 0 4 1 10 0 -6 15 -14 0 -6 9 15 0 11 8 -7 0 15 -2 -3 0 4 13 1 0 10 -9 -1 0 8 -1 8 0 -11 12 -7 0 10 9 -15 0 -3 4 -14 0 2 -14 -13 0 -8 11 6 0 12 -2 -5 0 -8 5 2 0 1 -5 3 0 9 15 -4 0 -9 3 -11 0 9 14 -5 0 -13 -12 6 0 7 -15 -9 0 
70 27 48 7 38 64 16 81 37 50 25 42 49 16 31 0 -14 2 -11 0 5 -11 -3 0 -7 2 -10 0 -14 -2 -13 0 -10 7 12 0 6 7 -6 0 10 7 4 0 -8 9 10 0 -6 -12 13 0 15 12 -15 0 11 15 1 0 10 -1 12 0 -10 7 12 0 -1 -12 11 0 -1 12 -15 0 -14 13 -10 0 7 -13 -1 0 -8 5 -7 0 3 8 9 0 -7 12 -10 0 9 -5 6 0 11 14 -7 0 -2 -8 -7 0 -15 -7 2 0 -1 10 -8 0 13 6 -4 0 -12 -15 11 0 -1 15 9 0 15 -6 -7 0 -5 -7 -13 0 -8 4 14 0 2 -3 -10 0 3 -11 5 0 11 -5 3 0 -9 13 14 0 4 -13 -9 0 5 -12 7 0 -11 -1 -2 0 -11 5 15 0 8 -15 6 0 
31 60 81 67 28 9 76 9 97 9 40 51 29 28 54 0 10 -13 -7 0 -1 4 13 0 10 -11 8 0 -6 -7 -8 0 -12 3 2 0 10 -1 2 0 11 12 -6 0 2 13 -8 0 -15 -13 6 0 7 -4 3 0 -10 -4 -9 0 -6 5 13 0 5 15 6 0 -13 -10 -1 0 3 -5 -3 0 12 7 -15 0 7 -9 15 0 14 -11 -2 0 6 11 -3 0 1 -12 15 0 -7 14 -5 0 6 10 6 0 -2 6 4 0 6 10 6 0 10 15 9 0 -2 13 3 0 12 -9 -7 0 -12 -9 7 0 1 2 -15 0 11 4 9 0 15 6 14 0 3 -8 -13 0 2 12 15 0 -3 13 -15 0 8 -5 -15 0 -8 2 10 0 -11 -5 -13 0 15 8 12 0 7 -14 -4 0 -6 10 1 0 
8 4 95 6 83 49 27 48 22 31 75 81 78 56 2 0 10 8 -1 0 -3 12 10 0 8 13 3 0 5 4 -12 0 13 11 13 0 -3 10 -3 0 -8 9 1 0 5 12 -8 0 -10 -14 7 0 8 -9 12 0 13 9 7 0 9 -1 -12 0 -13 -5 15 0 -8 -13 -10 0 -4 5 8 0 10 -6 4 0 -8 -15 5 0 -15 10 -8 0 -2 -5 15 0 -1 -7 -10 0 6 7 -6 0 4 14 1 0 -9 -12 -1 0 -10 -8 -7 0 -1 -3 15 0 -6 -11 12 0 -9 12 1 0 2 -12 -3 0 -2 15 11 0 -9 -12 -9 0 -7 2 -11 0 -4 -5 -10 0 -4 -12 -4 0 -2 -6 -10 0 -11 15 13 0 5 -1 14 0 6 -12 -3 0 -2 7 13 0 11 10 2 0 12 -1 -10 0 
60 11 52 83 48 27 5 98 75 1 19 75 96 47 62 0 15 5 8 0 -4 7 -8 0 -7 -13 -14 0 15 13 7 0 -10 6 8 0 -2 1 13 0 6 14 -10 0 -3 -7 10 0 13 -12 9 0 13 2 -4 0 15 14 -7 0 -10 -9 -15 0 -13 -2 1 0 13 -4 -12 0 -3 8 2 0 4 7 5 0 4 10 -7 0 -15 -4 -15 0 3 -14 4 0 12 -1 -11 0 -12 -14 4 0 -15 -5 15 0 -6 -7 15 0 1 -14 8 0 4 12 -9 0 1 2 -12 0 -15 1 9 0 8 -1 -10 0 -14 1 -3 0 14 3 -2 0 -9 -7 -15 0 6 -13 14 0 2 -3 -13 0 -5 10 9 0 14 -11 8 0 9 13 -7 0 -8 -5 15 0 8 -6 7 0 -12 -2 -12 0 14 7 2 0 
92 83 2 64 23 58 23 97 95 90 12 49 4 72 21 0 15 7 -8 0 -3 14 -10 0 9 -1 14 0 15 -6 13 0 -5 6 4 0 -13 1 -14 0 12 -6 -4 0 -11 -6 3 0 11 7 11 0 6 15 11 0 -8 15 -6 0 3 1 10 0 9 -15 5 0 10 -9 -15 0 -3 11 -8 0 2 -14 -6 0 12 -2 -6 0 -12 14 5 0 11 -2 7 0 -9 2 -4 0 5 6 -1 0 -9 -10 6 0 1 3 9 0 -6 14 -13 0 7 10 1 0 8 -6 -2 0 14 13 7 0 12 7 -10 0 4 -13 7 0 -6 8 7 0 5 9 4 0 15 -11 -6 0 -10 9 -3 0 -2 12 9 0 13 2 14 0 8 14 -11 0 -1 7 10 0 9 -1 -14 0 13 -10 15 0 -4 11 -7 0 
95 91 94 80 79 47 31 6 26 55 20 65 81 66 6 0 6 8 -6 0 -5 -13 -15 0 6 -8 3 0 -7 -5 -14 0 10 -11 1 0 -5 -2 14 0 -7 11 1 0 4 3 -1 0 -8 -7 15 0 3 8 2 0 14 -12 1 0 -14 3 -13 0 1 -2 1 0 8 -5 -2 0 -5 -7 -2 0 -13 11 1 0 8 -12 8 0 5 -4 -10 0 -13 7 11 0 -12 -9 -7 0 4 6 -1 0 -14 -9 -2 0 5 -15 -3 0 -7 -15 -7 0 3 10 2 0 -11 1 -10 0 9 -11 -14 0 7 -13 -4 0 15 -3 -8 0 -7 -12 -10 0 -12 -7 6 0 -2 -12 15 0 -2 1 -4 0 9 11 -12 0 8 3 -9 0 14 1 5 0 -6 -10 11 0 4 9 -4 0 -9 -15 -2 0 7 -1 -14 0 
