p cnf 21 20
58 14 84 7 20 79 36 93 15 31 91 40 94 85 23 84 76 62 4 11 42 0 10 11 8 0 15 -18 -5 0 -10 -1 -2 0 -20 4 -7 0 14 6 1 0 14 12 1 0 -7 -21 4 0 -1 17 20 0 -19 1 6 0 12 11 12 0 -18 7 -16 0 -11 2 10 0 11 -16 17 0 4 9 17 0 14 3 12 0 -6 8 -2 0 18 11 -16 0 -14 -6 8 0 -5 1 -12 0 18 16 -3 0 
97 92 77 81 85 10 68 6 84 13 76 15 48 16 98 100 15 44 25 72 83 0 -14 -9 5 0 -21 9 12 0 17 -20 -10 0 -2 18 -4 0 16 -19 13 0 -20 -2 5 0 2 -16 7 0 9 2 20 0 16 19 7 0 -4 -21 -16 0 15 -19 4 0 6 19 -3 0 7 15 -6 0 -11 -4 16 0 19 -11 6 0 -5 -9 -1 0 -5 3 20 0 7 -1 -10 0 1 15 -1 0 4 12 -5 0 
8 58 33 25 14 23 7 7 16 84 73 12 64 34 74 70 76 19 91 58 59 0 -7 -2 -18 0 -14 9 7 0 -16 -10 -5 0 12 -19 -15 0 -21 4 -12 0 20 7 1 0 21 -9 7 0 19 -18 -9 0 17 20 -13 0 -10 -11 19 0 -2 13 -2 0 -16 18 -3 0 -11 -16 -21 0 12 6 2 0 -6 -9 7 0 21 4 -10 0 1 -2 8 0 18 4 1 0 -9 17 -19 0 -7 4 -16 0 
7 70 83 81 97 40 16 73 28 5 68 8 32 47 20 25 86 41 87 39 72 0 -3 8 -1 0 -13 -9 16 0 -6 4 20 0 6 15 3 0 15 -21 -3 0 -18 -19 3 0 8 -4 20 0 17 7 -11 0 5 -12 1 0 2 -6 -5 0 -18 1 17 0 5 9 -1 0 14 2 -17 0 6 -16 -20 0 -7 -3 -18 0 -21 -8 -16 0 7 -19 18 0 17 2 -11 0 1 -14 21 0 -13 5 -10 0 
90 100 50 8 15 93 11 93 13 37 72 55 1 78 12 51 85 54 32 79 1 0 -3 -6 -5 0 -15 -19 -15 0 -4 -1 21 0 -12 16 13 0 -15 4 15 0 13 17 6 0 -5 -16 -9 0 -3 21 -2 0 -20 -18 15 0 14 -16 -20 0 2 21 11 0 3 12 -6 0 12 21 8 0 9 -7 15 0 -10 -7 -6 0 16 -9 -5 0 2 13 17 0 11 3 17 0 -18 -6 -19 0 -13 -5 21 0 
7 22 5 19 53 87 40 71 53 71 54 59 45 95 59 90 42 66 20 19 41 0 -2 -6 3 0 -1 -10 -4 0 11 -10 18 0 -7 -17 -20 0 -5 -18 2 0 -21 19 18 0 -15 -20 -4 0 -1 16 8 0 5 -18 6 0 21 -16 -1 0 -18 21 -18 0 12 -17 -15 0 14 9 -13 0 -3 -11 -6 0 -18 2 -11 0 12 -20 4 0 -6 5 -7 0 16 4 14 0 15 14 -13 0 -6 11 -17 0 
64 54 55 42 77 63 36 59 96 41 24 53 40 30 13 15 42 88 23 80 90 0 -6 16 8 0 -15 16 -18 0 -16 -12 16 0 -2 6 -10 0 -14 15 -16 0 7 11 4 0 21 -5 -10 0 -6 -15 20 0 -7 20 -3 0 -13 -3 -17 0 -20 -12 9 0 19 -5 18 0 -5 -17 7 0 15 -5 -20 0 -19 12 14 0 12 19 -15 0 -4 18 -6 0 21 15 -11 0 14 19 -18 0 -20 -14 -3 0 
34 10 69 72 92 70 21 77 65 27 75 83 100 42 11 72 54 40 74 36 42 0 -16 6 13 0 -21 19 -14 0 4 -18 10 0 9 2 6 0 -13 4 -13 0 21 -3 -14 0 -19 -10 -12 0 2 -4 -13 0 7 18 19 0 -18 -17 19 0 -5 -12 20 0 -17 13 10 0 -7 -13 9 0 19 -20 -1 0 14 2 11 0 13 14 -19 0 -3 -5 -16 0 -11 -4 -7 0 2 -21 -2 0 -4 15 5 0 
28 52 100 58 77 59 97 66 91 36 9 79 31 79 22 15 26 39 17 26 97 0 1 17 11 0 3 -16 -11 0 -21 -6 -4 0 11 -2 16 0 -9 -1 -17 0 9 11 -4 0 -5 12 6 0 -13 19 -4 0 14 -20 -12 0 8 19 -20 0 -2 1 -9 0 2 10 -17 0 10 -6 1 0 -18 21 -7 0 5 15 -5 0 -11 -16 4 0 9 12 -1 0 4 5 -14 0 9 -13 15 0 17 -9 18 0 
44 90 24 38 90 2 42 53 32 39 49 38 86 86 44 24 37 26 30 52 6 0 5 20 14 0 8 10 -16 0 -12 -8 15 0 9 -4 3 0 -16 6 -3 0 19 -14 4 0 9 -4 6 0 -9 -3 2 0 20 11 12 0 3 1 18 0 4 -6 -9 0 -21 18 -10 0 -1 12 7 0 -16 -18 -4 0 12 6 16 0 10 3 20 0 -10 15 -1 0 6 -15 -7 0 2 -17 -14 0 -2 -12 18 0 
45 67 27 3 57 64 78 48 15 3 52 94 3 75 50 96 92 69 36 4 82 0 15 -2 15 0 9 2 -8 0 14 19 8 0 -7 4 -15 0 14 -20 -8 0 12 -2 13 0 10 5 -15 0 -8 -21 -18 0 19 -9 -20 0 -13 -21 -10 0 4 16 3 0 18 -7 1 0 -10 6 -3 0 -10 11 15 0 6 -18 7 0 -3 -11 17 0 -2 -6 -11 0 7 -11 19 0 -16 -6 1 0 7 -10 6 0 
57 21 19 90 69 81 87 53 70 18 68 57 92 21 77 45 57 37 90 70 1 0 14 16 18 0 15 19 -5 0 17 21 2 0 -19 -4 -5 0 -6 3 7 0 20 -1 2 0 -16 -12 -14 0 -17 -10 -15 0 -17 -8 19 0 15 -14 19 0 12 -10 17 0 -2 -20 12 0 1 5 -4 0 14 -10 8 0 1 -19 16 0 -15 -12 -3 0 12 13 -8 0 6 -21 6 0 4 -10 16 0 -10 -13 5 0 
