p cnf 21 30
94 81 21 12 47 36 36 20 40 92 82 88 86 66 40 89 21 70 32 78 50 0 1 6 9 0 -3 6 1 0 -19 15 -2 0 7 13 -10 0 -7 -19 -1 0 7 17 -2 0 17 8 19 0 6 11 17 0 5 15 12 0 6 -19 -20 0 3 16 14 0 -13 3 -5 0 -7 -8 16 0 10 3 9 0 -4 19 -15 0 5 -6 15 0 -13 4 5 0 -10 5 14 0 -3 13 15 0 -6 -9 17 0 -16 19 -14 0 15 -13 -16 0 21 -3 -18 0 21 -14 2 0 10 -21 -7 0 18 12 -20 0 4 7 5 0 10 3 -4 0 5 15 11 0 21 18 12 0 
18 72 75 55 66 74 1 59 2 86 77 27 72 99 18 83 25 99 94 25 4 0 -20 -3 -10 0 -5 -10 -20 0 -6 -18 -5 0 -9 -18 -2 0 4 -15 17 0 9 -21 -1 0 5 14 -11 0 7 11 16 0 20 -5 17 0 13 16 13 0 -15 21 -4 0 21 2 -18 0 -2 4 -1 0 -2 16 -12 0 8 -6 -9 0 10 -14 -13 0 6 -2 -1 0 -17 19 -12 0 11 -7 4 0 -20 13 8 0 -5 1 17 0 20 -11 14 0 12 -1 -11 0 5 -4 -20 0 -16 -20 -2 0 13 -8 6 0 5 -6 17 0 -8 -16 -3 0 -13 -4 5 0 2 -18 -6 0 
97 51 85 26 52 52 50 17 30 83 24 90 63 43 67 72 80 66 53 29 68 0 -3 -2 -4 0 18 5 -3 0 19 1 17 0 -1 8 11 0 -2 17 9 0 12 -11 -10 0 -4 12 16 0 12 -7 -21 0 -19 -18 -16 0 6 4 8 0 -7 -19 -1 0 4 -20 18 0 1 16 3 0 -18 21 4 0 1 -12 -4 0 -12 11 -4 0 -16 -15 -20 0 5 16 7 0 -12 -15 10 0 21 -4 -11 0 -9 16 5 0 6 -3 9 0 7 -21 7 0 -16 -2 6 0 7 -18 16 0 15 -2 -17 0 5 1 -19 0 5 -19 3 0 -6 -21 -5 0 -16 10 -16 0 
47 6 90 94 80 17 71 20 55 1 80 34 62 54 10 76 77 98 66 65 11 0 -6 -16 -10 0 18 16 -12 0 1 -19 -3 0 13 -19 -6 0 -17 -9 14 0 19 -15 -5 0 11 19 20 0 9 -10 -13 0 -20 9 -6 0 14 -21 7 0 -17 8 15 0 -9 11 -7 0 12 -5 16 0 -9 -19 -3 0 -10 -19 15 0 1 5 16 0 3 4 2 0 16 13 -5 0 -1 -2 17 0 -3 16 4 0 8 20 6 0 -8 -9 8 0 4 8 1 0 13 12 9 0 18 -19 4 0 -19 -13 20 0 18 5 2 0 -19 -21 -19 0 -11 -19 -4 0 1 11 21 0 
78 100 42 58 88 4 22 4 44 50 72 98 22 35 4 69 41 79 43 14 12 0 18 -16 -19 0 20 -11 -13 0 19 9 13 0 20 18 6 0 13 8 15 0 -17 -12 9 0 20 -10 17 0 8 -18 -2 0 21 -13 17 0 16 -19 -10 0 19 -9 5 0 -3 -18 3 0 19 1 12 0 16 9 -15 0 13 11 -13 0 -8 16 -18 0 1 -6 8 0 -1 -17 21 0 14 3 -12 0 -16 20 11 0 1 -3 -8 0 -12 -16 -4 0 1 -6 -21 0 13 -21 8 0 6 -12 17 0 10 20 -16 0 14 -11 4 0 8 -14 -3 0 21 12 4 0 10 3 16 0 
96 40 35 52 2 33 52 27 3 63 8 2 49 61 46 79 18 80 98 65 70 0 4 -18 12 0 -19 -20 6 0 -15 -2 10 0 4 -16 -14 0 3 -10 -3 0 -18 17 -1 0 -16 12 19 0 2 11 7 0 -10 -19 -4 0 11 -7 -19 0 -11 16 -1 0 17 13 4 0 -16 7 -9 0 6 2 -5 0 -1 -19 -8 0 -4 12 -14 0 15 -5 -14 0 6 18 -19 0 14 7 -16 0 -13 7 15 0 -20 11 20 0 -7 -4 -17 0 -21 19 -7 0 21 -6 -10 0 14 8 18 0 -19 -5 -8 0 -6 -9 -1 0 19 16 4 0 -11 -12 -11 0 5 -15 -6 0 
21 68 77 100 36 84 65 83 29 89 44 97 43 87 79 60 21 93 30 57 84 0 -19 9 -8 0 19 3 -5 0 -1 7 -14 0 -15 21 12 0 9 -20 13 0 -15 14 -3 0 -15 12 -13 0 21 17 9 0 -6 -18 -1 0 -3 -9 -20 0 -21 5 -15 0 9 3 -15 0 5 -18 -1 0 8 -15 8 0 17 -21 -12 0 -1 15 -18 0 5 7 -9 0 -14 -19 15 0 -8 -16 3 0 12 -14 -20 0 -19 -7 -15 0 -14 18 7 0 -14 1 -5 0 7 -11 -8 0 -20 11 -5 0 -14 -5 -10 0 -18 -14 -20 0 -16 -14 -19 0 7 -4 -1 0 -8 -7 9 0 
90 52 37 51 8 40 67 99 70 90 79 95 46 82 60 81 64 31 94 87 57 0 -5 4 -14 0 6 17 15 0 9 17 15 0 17 5 -7 0 -8 7 -21 0 18 21 9 0 -10 20 21 0 4 -7 4 0 8 2 -13 0 -17 1 12 0 6 -18 14 0 19 -12 -18 0 -19 18 12 0 21 -19 -9 0 -3 -11 -8 0 16 -3 -2 0 4 9 15 0 4 -5 8 0 12 -9 15 0 17 -20 -10 0 19 -12 -11 0 8 -18 -2 0 15 2 -18 0 20 -9 2 0 -16 -4 -21 0 -2 1 -20 0 -2 17 -7 0 8 -20 -15 0 14 1 -16 0 3 18 -21 0 
46 9 53 77 51 1 24 30 79 60 88 54 73 54 100 55 80 91 8 19 89 0 1 -6 9 0 -17 -13 2 0 17 -1 -12 0 -10 16 12 0 11 21 8 0 -19 -8 -2 0 11 9 -13 0 -12 20 13 0 -21 3 -4 0 -8 4 -19 0 -21 3 -10 0 -3 -13 -15 0 10 5 16 0 -12 -8 11 0 -16 19 -6 0 10 -7 -8 0 17 20 19 0 14 3 -13 0 11 2 10 0 17 -18 14 0 18 -20 -16 0 10 8 17 0 -4 6 19 0 16 13 6 0 -7 -17 20 0 21 13 20 0 -3 -4 8 0 3 9 3 0 20 -1 -4 0 -5 8 -2 0 
2 21 4 79 55 4 36 40 64 21 44 52 74 52 34 18 82 33 64 28 38 0 19 8 -13 0 16 -11 5 0 1 -7 16 0 -18 10 -12 0 -19 -17 13 0 -5 7 12 0 -8 -3 12 0 -18 1 -21 0 20 -10 21 0 16 -3 -15 0 7 -13 2 0 -3 7 13 0 18 -7 20 0 16 -8 14 0 -7 4 18 0 -13 21 10 0 11 10 -21 0 4 -2 -17 0 -14 6 20 0 -4 13 11 0 14 -15 -8 0 -17 9 -3 0 -19 3 -2 0 19 2 -1 0 -9 3 7 0 -3 15 -9 0 13 16 7 0 4 18 1 0 -18 -8 18 0 19 -10 1 0 
