p cnf 15 25
69 11 85 69 61 57 50 72 34 34 22 55 17 19 38 0 -4 -15 3 0 -8 -10 14 0 8 7 -4 0 -7 13 4 0 5 4 11 0 2 -7 -9 0 -4 12 11 0 1 -8 -6 0 3 1 14 0 -5 10 -13 0 12 -6 10 0 11 1 3 0 -8 4 -11 0 13 -7 6 0 -7 3 -7 0 -9 3 -4 0 -14 -15 -2 0 -3 -12 15 0 5 -3 9 0 -4 -12 3 0 10 -3 -4 0 13 -7 -1 0 14 6 3 0 -6 -15 -1 0 -7 -3 6 0 
84 88 1 38 47 24 85 22 88 84 49 13 73 52 46 0 5 10 -1 0 -10 -7 3 0 4 -7 -14 0 -6 7 -4 0 -10 -9 7 0 -11 15 -7 0 6 -9 -14 0 -4 -12 14 0 -15 2 -4 0 11 -10 -1 0 15 8 -10 0 11 1 4 0 -5 -13 1 0 6 -8 2 0 -9 2 -11 0 -5 13 2 0 -5 15 -9 0 4 -15 11 0 -4 -8 -1 0 3 1 -5 0 -7 4 -2 0 -10 7 10 0 13 -15 -3 0 5 12 -2 0 -12 15 1 0 
12 34 23 50 83 72 55 15 26 11 67 19 21 6 82 0 -13 3 -9 0 -15 9 5 0 -9 13 9 0 8 3 -5 0 -8 15 14 0 -1 11 6 0 -9 12 10 0 9 4 8 0 6 1 15 0 -3 9 7 0 -9 2 4 0 -1 13 -15 0 1 4 3 0 -14 -13 3 0 -11 5 3 0 5 6 15 0 -5 7 -4 0 -14 -11 2 0 -8 5 15 0 7 4 6 0 -8 10 -11 0 12 -15 10 0 -15 -6 9 0 -6 -5 -12 0 10 12 13 0 
33 60 78 27 57 76 15 15 68 44 87 72 98 56 31 0 3 -15 12 0 14 -7 -14 0 13 12 -8 0 4 15 1 0 11 -7 -11 0 -14 -2 -9 0 1 -5 -2 0 13 -4 11 0 14 -13 -1 0 -7 -10 -11 0 15 14 -11 0 -13 2 -12 0 -1 13 4 0 -13 4 -7 0 6 14 11 0 -12 -9 1 0 -15 -8 -15 0 9 -11 4 0 -6 15 10 0 -4 11 -7 0 2 -14 -11 0 -7 4 -1 0 9 -10 -6 0 -9 -5 12 0 14 -6 1 0 
81 92 11 91 89 78 96 12 19 75 60 99 54 3 59 0 -15 6 4 0 9 -12 9 0 11 -4 6 0 4 8 9 0 4 3 12 0 3 -13 10 0 1 3 -2 0 -1 5 8 0 5 -3 -1 0 -8 -10 6 0 9 15 -9 0 6 -7 8 0 -6 -1 11 0 -7 -4 9 0 -11 10 -8 0 14 6 7 0 9 13 -3 0 -4 -8 -3 0 12 -7 5 0 -6 -10 -5 0 1 7 -11 0 6 2 14 0 -1 12 -1 0 -4 15 9 0 5 -1 -10 0 
58 81 79 80 19 80 18 73 32 48 9 62 98 64 37 0 10 8 7 0 -1 -11 -1 0 -14 -2 3 0 5 -8 12 0 3 -15 -13 0 3 10 -9 0 1 -8 14 0 13 2 7 0 -8 15 7 0 8 5 -4 0 6 -14 -2 0 10 -12 -8 0 -9 6 8 0 2 7 -6 0 -13 4 -8 0 -4 2 -11 0 -8 -4 14 0 13 7 8 0 15 12 -8 0 4 -14 5 0 7 -11 9 0 2 11 12 0 7 -8 -4 0 -10 8 10 0 7 4 -9 0 
100 6 100 97 14 72 76 37 80 62 55 46 11 47 38 0 -2 -12 4 0 -10 12 9 0 -5 15 14 0 -3 9 3 0 -8 13 6 0 -10 1 -11 0 -10 15 4 0 13 12 -3 0 15 12 -4 0 3 9 -2 0 9 3 11 0 -9 -13 -11 0 -10 -2 -1 0 -10 -6 10 0 -2 -13 12 0 -3 -15 -10 0 3 14 4 0 -2 -4 -14 0 9 4 15 0 -7 -2 15 0 -11 -8 5 0 -8 3 7 0 -8 12 8 0 2 -6 -5 0 -12 -11 14 0 
10 79 12 1 56 56 89 55 1 91 78 79 16 97 62 0 -13 -8 -9 0 -4 10 -2 0 -7 -8 -12 0 -3 13 15 0 -3 11 5 0 4 5 -8 0 7 -3 -15 0 -10 9 -14 0 -9 7 -14 0 -15 14 -13 0 15 -5 10 0 -9 -15 9 0 14 -10 11 0 -12 9 2 0 7 -14 11 0 7 -10 12 0 15 -11 15 0 11 5 4 0 -5 -11 -1 0 3 12 -11 0 10 15 -12 0 6 8 7 0 3 9 -14 0 -11 2 -13 0 -3 9 14 0 
92 84 92 62 100 53 73 72 51 31 79 34 1 93 44 0 -9 -3 14 0 2 -5 -7 0 -8 13 5 0 -13 -8 10 0 -12 10 -11 0 -6 1 12 0 -15 4 8 0 -5 1 12 0 1 2 -14 0 -2 -8 7 0 -9 1 2 0 8 -5 14 0 -15 -4 13 0 11 13 12 0 7 -13 -15 0 9 -7 9 0 -5 8 -5 0 -12 -8 -2 0 13 -9 -8 0 -5 9 12 0 -4 8 -4 0 3 2 8 0 -11 -7 1 0 14 3 12 0 5 15 -6 0 
78 67 99 30 27 44 44 42 82 81 64 76 55 17 65 0 -11 -10 -14 0 7 3 10 0 4 2 -6 0 -14 -6 11 0 3 -13 12 0 -14 -10 -3 0 14 13 7 0 -8 5 11 0 7 12 13 0 6 -3 -4 0 8 -1 -13 0 -11 7 2 0 15 -8 6 0 11 -1 -13 0 -12 15 2 0 -5 8 5 0 8 -12 -8 0 6 -7 -6 0 10 5 -8 0 11 7 9 0 -4 12 -4 0 1 -14 10 0 -12 -3 13 0 -11 -10 -4 0 12 3 -6 0 
