p cnf 21 25
82 16 100 74 76 24 1 75 41 27 33 58 20 67 32 74 79 6 72 97 66 0 3 19 12 0 11 18 7 0 -5 4 19 0 -10 -2 11 0 13 2 -14 0 17 -19 8 0 3 4 12 0 14 17 -13 0 -5 -14 15 0 -21 7 -4 0 13 -12 10 0 18 -13 6 0 19 -1 -7 0 17 2 18 0 -21 4 2 0 -21 -19 8 0 -16 -12 -20 0 17 -15 -18 0 -20 -3 17 0 16 -14 -6 0 -17 -19 1 0 -16 1 -14 0 8 -9 2 0 10 8 12 0 8 14 -21 0 
91 54 8 67 34 49 36 35 85 64 11 82 87 18 51 32 15 15 80 66 67 0 -11 3 -20 0 2 -15 18 0 -2 16 -21 0 -15 2 -6 0 -19 -9 6 0 -13 1 -4 0 -8 -19 -14 0 -4 -19 -3 0 -5 1 5 0 2 -11 8 0 -12 -17 -3 0 9 11 17 0 10 5 17 0 -5 3 2 0 7 -9 -3 0 12 -15 -16 0 17 -18 -9 0 -5 -19 3 0 11 10 -9 0 18 -12 -8 0 -17 -6 21 0 4 2 19 0 10 3 4 0 17 -9 1 0 -11 6 21 0 
42 66 30 61 73 72 35 14 52 45 86 95 27 46 19 17 10 86 9 15 88 0 -13 -5 -7 0 10 18 -17 0 -5 13 -4 0 -7 -20 -16 0 -9 11 -2 0 -4 17 -15 0 3 -5 2 0 -9 -19 12 0 -18 -12 21 0 -17 18 -12 0 -6 -4 6 0 -8 -1 11 0 -8 -20 -15 0 -9 -2 4 0 19 -10 -19 0 12 -9 4 0 21 9 -14 0 -13 -9 16 0 13 4 10 0 8 4 15 0 -6 18 16 0 -1 -2 -18 0 -17 -11 -16 0 -2 -7 19 0 7 21 -18 0 
17 69 60 36 3 68 2 21 55 36 21 50 15 69 32 100 36 92 67 86 83 0 13 -20 5 0 3 -17 21 0 -5 10 -2 0 12 19 -16 0 -8 4 2 0 12 19 20 0 -10 -9 14 0 18 -10 -15 0 14 2 -5 0 4 -20 -7 0 14 4 -21 0 17 -5 20 0 -9 -19 -10 0 -4 -8 -20 0 2 -18 1 0 7 -4 -21 0 -4 12 19 0 3 -21 -19 0 -8 7 -4 0 -5 4 20 0 -5 -21 -13 0 15 11 4 0 -2 16 -3 0 -1 -16 11 0 5 -16 14 0 
71 55 35 40 94 74 90 57 92 70 22 61 85 89 12 67 94 61 58 29 19 0 -20 21 -16 0 10 3 8 0 17 6 -12 0 -8 -21 7 0 -4 -7 3 0 6 -21 -10 0 15 -5 16 0 10 -6 20 0 -5 16 19 0 5 -13 14 0 -16 12 -13 0 -21 8 18 0 -14 16 -18 0 11 16 -3 0 5 -9 16 0 -8 -16 21 0 14 9 1 0 -20 7 -8 0 3 2 1 0 6 -7 -19 0 11 -8 19 0 -8 4 -7 0 -18 14 15 0 -4 -16 12 0 -3 -18 -7 0 
59 100 58 1 48 73 91 68 59 24 58 24 83 100 70 40 70 88 45 8 29 0 2 -5 -18 0 -10 -3 9 0 16 -13 16 0 -6 9 -14 0 -15 10 -13 0 9 -18 7 0 16 -7 -2 0 -10 -13 -15 0 -19 12 19 0 -21 17 12 0 19 17 7 0 12 -21 14 0 -18 21 -15 0 9 18 16 0 -4 -14 2 0 -18 -3 5 0 15 5 -11 0 14 -18 -9 0 2 21 -12 0 -8 6 -11 0 -20 4 15 0 -6 21 -20 0 -3 -13 21 0 5 15 -4 0 20 21 -4 0 
39 26 14 84 98 92 44 45 88 5 43 50 43 54 50 8 69 54 64 37 73 0 9 -21 -16 0 -1 15 5 0 -12 -18 -13 0 -15 10 -15 0 16 3 -16 0 15 10 -11 0 -15 -3 4 0 7 -10 -16 0 2 1 -17 0 1 -20 -9 0 -14 -17 -21 0 14 -2 -18 0 -9 11 10 0 16 18 -6 0 -3 -16 -10 0 9 7 -6 0 -20 6 17 0 10 -11 -8 0 -21 -2 10 0 13 -11 19 0 -4 -21 2 0 -8 9 14 0 -17 -19 -12 0 20 -19 20 0 -15 -13 -6 0 
97 48 43 14 73 45 88 43 27 52 97 87 95 66 32 41 49 52 81 56 64 0 21 -20 -5 0 16 -12 3 0 -8 16 13 0 -21 9 14 0 20 9 1 0 21 7 -17 0 16 1 -2 0 -5 14 7 0 -16 19 -7 0 5 -16 -3 0 -19 -6 -2 0 -14 -3 12 0 -13 -20 -11 0 -15 3 -12 0 18 -12 4 0 -20 -9 16 0 12 9 -21 0 -15 7 1 0 11 12 13 0 17 9 -6 0 7 -14 3 0 20 15 -17 0 -15 4 -5 0 -15 -18 15 0 -20 9 -21 0 
1 29 52 28 49 50 36 1 64 41 94 46 5 63 42 72 76 65 87 41 3 0 -1 8 2 0 14 5 -6 0 -9 -11 15 0 17 -16 11 0 -13 -21 -4 0 -12 4 -15 0 21 11 -5 0 20 3 7 0 -19 -8 18 0 16 20 16 0 7 1 -10 0 20 -14 7 0 -8 13 -5 0 -14 16 -9 0 17 5 19 0 -11 13 4 0 -14 5 -12 0 -14 8 -12 0 13 -11 -21 0 -15 -19 6 0 15 -19 6 0 -17 -9 -11 0 -13 2 16 0 -4 20 15 0 2 13 14 0 
41 57 38 46 30 56 20 93 18 62 96 66 79 42 27 56 42 57 88 9 28 0 3 -15 -14 0 9 -12 1 0 -16 -5 -12 0 -17 -14 -12 0 20 8 15 0 2 9 11 0 13 -9 -7 0 3 -21 10 0 14 -1 13 0 15 10 -12 0 19 9 -14 0 21 14 16 0 -14 19 11 0 21 6 20 0 11 8 -4 0 2 19 17 0 -10 -17 16 0 21 -11 21 0 -10 19 -18 0 -5 6 -11 0 -2 12 20 0 -21 -10 11 0 8 -11 -18 0 -7 6 12 0 15 7 -8 0 
