p cnf 24 20
68 71 87 3 62 66 51 69 70 80 78 78 87 81 6 67 98 40 38 76 48 60 48 8 0 -3 7 4 0 17 13 21 0 -24 -11 -23 0 7 12 11 0 -16 8 11 0 10 21 -15 0 -8 -4 -6 0 -9 19 11 0 14 5 22 0 -8 -1 20 0 19 -15 -12 0 -23 -19 -18 0 22 8 3 0 -19 11 -13 0 -6 -23 15 0 6 -21 18 0 6 -18 12 0 -22 3 -8 0 -18 -13 9 0 -19 4 11 0 
71 24 55 4 71 97 80 96 37 97 44 8 95 25 89 90 53 32 11 18 78 15 93 38 0 24 7 8 0 -5 -24 -9 0 -4 -2 16 0 7 -13 16 0 -7 -24 3 0 -7 -23 17 0 -22 6 -11 0 -24 9 18 0 -22 5 19 0 -3 7 -11 0 10 11 -16 0 -4 -21 -12 0 21 1 -24 0 -1 14 -17 0 8 1 4 0 -20 21 -6 0 -8 -6 5 0 16 -5 -22 0 20 13 23 0 -12 -23 8 0 
6 43 12 42 62 49 1 21 10 90 69 91 14 52 89 62 76 59 13 15 87 69 75 45 0 -21 -11 -1 0 -6 21 -23 0 -2 22 -21 0 1 -14 4 0 8 -23 -17 0 -19 7 -17 0 -22 -21 -10 0 11 19 10 0 -6 13 19 0 -11 -9 16 0 -11 22 -14 0 19 5 -21 0 7 10 -16 0 -21 5 4 0 -18 5 21 0 6 21 24 0 13 9 -7 0 16 -1 -5 0 -2 20 -17 0 -18 -20 2 0 
76 27 7 28 21 38 68 30 32 68 10 62 51 61 23 47 35 3 35 12 56 50 96 56 0 2 6 8 0 21 6 -3 0 -17 -19 18 0 -14 -13 7 0 14 3 -14 0 4 11 -4 0 -24 1 15 0 10 4 10 0 13 -1 -19 0 7 10 4 0 23 17 6 0 21 2 -13 0 -9 24 -21 0 1 4 11 0 17 -20 -3 0 22 24 -13 0 16 -23 -3 0 11 1 -15 0 13 24 -1 0 24 6 -12 0 
16 10 74 63 80 39 76 59 9 39 37 76 40 91 2 69 23 44 8 67 54 55 18 22 0 21 -6 15 0 -17 -10 -4 0 -8 -21 -12 0 -17 13 -12 0 13 9 -24 0 -11 -3 2 0 20 -13 -22 0 21 17 18 0 4 -14 -11 0 19 4 14 0 -24 -14 4 0 21 9 -12 0 10 -23 -1 0 22 -10 4 0 5 -3 -17 0 2 16 10 0 -21 1 6 0 18 -13 9 0 -16 1 9 0 5 -19 4 0 
99 1 43 18 99 81 40 71 58 93 19 76 25 53 46 13 12 6 49 7 56 38 12 92 0 -18 -9 -23 0 -6 1 19 0 13 -18 -11 0 13 24 -15 0 8 6 16 0 7 9 12 0 -10 -12 10 0 -5 -1 19 0 -9 17 10 0 12 1 12 0 -2 -9 24 0 -9 12 -7 0 -20 -6 4 0 -12 -14 7 0 -2 -10 9 0 -11 18 -1 0 -20 18 2 0 6 10 17 0 -4 20 -11 0 -7 -11 18 0 
6 83 26 28 23 100 63 95 19 44 47 45 92 33 61 38 1 37 44 77 33 47 61 11 0 5 8 7 0 -12 19 8 0 10 -19 22 0 -5 -15 -6 0 -13 -4 -11 0 12 -17 23 0 21 -3 22 0 13 18 12 0 21 -12 14 0 19 -14 5 0 13 -15 4 0 -19 -17 7 0 4 24 -1 0 23 -17 -14 0 -12 1 16 0 -21 5 7 0 -5 -11 -14 0 15 9 19 0 8 7 -8 0 -13 11 -24 0 
52 13 66 52 87 52 51 95 56 69 30 57 14 28 15 63 81 13 21 28 51 43 80 91 0 -3 14 13 0 -23 -1 7 0 15 -1 -22 0 11 2 -1 0 2 -17 -8 0 -14 4 -14 0 -24 -23 5 0 -14 15 19 0 9 -6 22 0 -7 -11 -1 0 -20 -1 -8 0 13 22 18 0 19 24 -21 0 -13 -6 11 0 4 -13 14 0 12 -7 -6 0 -19 1 9 0 -23 -10 -19 0 17 24 11 0 23 -24 20 0 
18 15 87 59 42 81 70 35 16 19 73 4 81 75 57 96 29 63 36 1 70 54 52 64 0 -20 -24 5 0 -4 -18 4 0 -2 5 -8 0 -17 24 -20 0 23 -17 -21 0 -20 5 -11 0 -22 7 23 0 9 -20 9 0 7 -14 2 0 -13 12 -4 0 24 23 -1 0 -6 -15 -20 0 14 22 -10 0 -19 23 -13 0 9 -7 -14 0 11 -16 1 0 -11 6 -10 0 22 -19 23 0 -2 -7 -18 0 -11 -20 -15 0 
41 68 25 74 32 41 60 2 79 12 95 52 86 57 13 40 72 79 28 90 16 38 55 9 0 7 14 3 0 16 -4 19 0 -15 -11 -14 0 19 14 -22 0 10 -7 10 0 -18 -8 -16 0 -3 19 -13 0 7 9 13 0 6 13 -21 0 22 -1 -2 0 22 15 7 0 1 16 7 0 24 23 5 0 -23 18 -12 0 -1 -4 13 0 -17 -20 -22 0 -6 -17 5 0 16 -4 -14 0 15 16 5 0 -3 7 5 0 
