p cnf 15 30
86 75 11 90 24 2 42 72 33 59 61 20 56 84 65 0 4 10 -6 0 7 -15 6 0 13 8 6 0 -9 1 -4 0 -15 11 5 0 14 4 9 0 7 -6 5 0 -11 -3 -5 0 11 -12 14 0 -9 6 1 0 -4 -14 15 0 -14 -6 12 0 14 9 1 0 5 8 6 0 -14 -10 -8 0 -15 -2 -10 0 -11 -13 -11 0 2 -14 -2 0 -7 3 5 0 -12 13 -4 0 -5 1 15 0 -11 6 2 0 5 7 11 0 8 11 4 0 -6 11 10 0 1 11 7 0 12 1 -13 0 11 -2 9 0 -6 9 11 0 -6 -11 5 0 
64 27 22 19 3 25 49 77 61 56 53 54 32 13 92 0 -8 -11 -1 0 -5 6 -14 0 3 -2 4 0 -11 1 3 0 4 15 -14 0 2 -8 15 0 1 6 10 0 -8 -6 5 0 -1 -5 12 0 -7 -4 -7 0 -11 -4 -11 0 -10 2 -9 0 -10 13 10 0 13 8 -6 0 -14 1 13 0 4 5 -15 0 7 1 -2 0 14 -9 -14 0 8 4 10 0 3 11 -12 0 7 -1 -15 0 10 -8 -10 0 4 3 10 0 -1 -14 2 0 -10 4 -15 0 -5 -7 -8 0 6 14 8 0 11 10 1 0 15 -7 -8 0 -11 3 7 0 
29 78 31 78 11 22 92 21 62 100 52 27 40 51 71 0 -2 -7 -11 0 14 -5 -8 0 4 14 -6 0 5 -14 12 0 -9 -12 15 0 -10 6 7 0 -14 -10 7 0 3 9 14 0 9 15 13 0 7 1 -7 0 -13 -14 -9 0 2 -10 2 0 -5 -9 12 0 10 -8 11 0 5 -2 12 0 11 -8 10 0 13 15 7 0 14 4 7 0 5 -4 1 0 12 -2 -3 0 -11 -9 -13 0 -9 -15 -1 0 15 12 10 0 5 6 2 0 -1 2 1 0 12 8 10 0 -1 -15 -3 0 13 -2 -15 0 -7 15 6 0 -5 11 -7 0 
25 5 9 37 38 80 39 48 62 36 57 56 15 76 48 0 -6 4 8 0 7 10 2 0 9 -15 9 0 -5 6 5 0 -6 -12 -7 0 -8 -5 -14 0 -12 -8 1 0 2 -15 -4 0 -9 -3 -6 0 11 -3 12 0 8 -12 2 0 8 7 10 0 8 -14 11 0 -14 -10 15 0 13 -2 5 0 4 5 -2 0 14 13 -15 0 -13 1 -4 0 -10 4 9 0 6 2 1 0 12 15 1 0 9 -10 5 0 11 -12 -2 0 -15 10 9 0 15 10 14 0 5 10 -13 0 15 -1 14 0 8 1 -5 0 8 5 -13 0 3 -4 10 0 
39 99 41 71 33 82 96 65 37 9 44 47 7 94 87 0 11 -4 -11 0 -12 13 9 0 -2 5 6 0 5 3 14 0 -10 2 1 0 2 10 -3 0 -4 -1 4 0 -13 8 -2 0 10 -13 -15 0 -14 -13 11 0 -5 -6 14 0 -12 10 -5 0 13 2 14 0 -15 7 4 0 15 -10 6 0 8 -11 -10 0 -5 -10 7 0 -14 -11 -9 0 10 5 1 0 -13 10 13 0 -14 -8 -4 0 -9 -15 -12 0 1 3 1 0 -11 14 -15 0 8 -13 7 0 2 11 8 0 -3 -7 -4 0 15 -2 -4 0 3 10 9 0 5 8 4 0 
20 50 79 95 88 43 49 55 94 23 40 94 52 69 62 0 3 2 9 0 14 8 4 0 -12 5 -3 0 -7 -3 -11 0 5 7 15 0 8 7 -15 0 -7 14 -15 0 -6 -15 10 0 -2 3 10 0 -8 -14 4 0 -11 4 -2 0 -5 14 13 0 11 -15 5 0 3 9 2 0 -9 -14 4 0 2 6 15 0 -14 9 3 0 -6 12 10 0 -15 -10 13 0 2 8 -9 0 8 -1 -7 0 10 5 -1 0 13 8 7 0 8 -12 -13 0 4 14 -5 0 -7 14 5 0 1 2 9 0 -1 -8 12 0 1 14 -6 0 14 5 8 0 
18 64 52 41 38 46 4 1 75 2 53 25 22 90 50 0 5 1 -7 0 11 15 -13 0 6 -10 -13 0 2 -8 14 0 13 8 14 0 2 -10 -7 0 -3 -7 11 0 4 3 8 0 -4 -3 -7 0 6 -9 -7 0 -2 11 -1 0 8 -11 3 0 -6 -2 10 0 -7 8 9 0 8 -12 6 0 14 -9 -7 0 -5 13 -2 0 -1 -6 4 0 3 -2 12 0 -8 2 6 0 3 1 3 0 -10 3 -9 0 15 -6 -10 0 -12 5 2 0 11 -8 10 0 5 -1 -7 0 -6 -10 2 0 5 -2 4 0 3 7 13 0 2 9 10 0 
93 48 34 68 25 83 98 98 34 81 44 58 42 36 52 0 -8 -12 -2 0 15 -9 -7 0 -2 4 -13 0 6 -11 -1 0 -10 9 -7 0 -11 13 -7 0 -4 -15 11 0 4 -15 -8 0 2 1 14 0 15 -10 2 0 4 -1 5 0 11 14 4 0 -2 9 -1 0 -13 15 14 0 6 -8 14 0 11 -14 9 0 2 11 2 0 -6 3 -11 0 -7 -6 10 0 -9 -1 -9 0 6 14 7 0 12 4 12 0 -5 15 -1 0 10 1 7 0 10 -2 9 0 -3 -10 -1 0 11 7 -14 0 3 -4 2 0 6 -8 7 0 8 -14 6 0 
48 40 44 29 33 60 67 28 64 45 68 92 14 50 85 0 9 -13 1 0 11 -15 -13 0 15 4 -11 0 12 3 -15 0 14 -13 9 0 4 -9 -12 0 1 -14 8 0 13 9 -12 0 -4 6 -11 0 1 15 3 0 -15 5 11 0 14 10 6 0 2 11 2 0 15 -13 -2 0 -1 5 -8 0 7 9 -8 0 -14 -4 6 0 15 8 3 0 12 1 -4 0 -14 3 10 0 1 2 -15 0 9 -8 -3 0 7 -8 -4 0 12 1 -2 0 5 -11 13 0 -15 -5 -13 0 -12 14 -12 0 -10 15 1 0 13 -1 -8 0 -3 13 -10 0 
7 54 7 23 74 95 32 47 58 3 35 99 14 14 86 0 -15 -7 -10 0 -14 12 5 0 12 9 4 0 12 -4 -5 0 -7 -6 14 0 -11 12 6 0 -14 -9 -8 0 -6 1 -4 0 -5 6 3 0 13 -15 6 0 -2 -5 -11 0 -1 -13 -15 0 -8 7 10 0 -7 2 -8 0 -3 1 6 0 -3 -14 10 0 2 -13 5 0 7 8 -10 0 -6 -1 -7 0 -5 10 4 0 -1 -3 -13 0 10 15 7 0 -15 -12 -3 0 -11 5 -9 0 12 9 2 0 9 -11 13 0 4 -1 14 0 -8 1 6 0 -7 15 -8 0 13 -15 -2 0 
