p cnf 24 30
44 91 30 32 92 100 48 30 13 92 35 1 78 92 56 44 15 1 25 66 22 65 66 24 0 14 1 17 0 -21 -1 -20 0 21 -17 10 0 22 10 15 0 1 -10 15 0 -1 17 -24 0 -3 21 -2 0 -18 23 -7 0 -13 7 8 0 11 -15 22 0 10 -16 -15 0 -3 -16 4 0 -14 -13 16 0 -4 -11 3 0 20 5 1 0 16 -8 5 0 -12 10 2 0 18 -14 -22 0 9 4 -3 0 -14 22 -6 0 -4 14 -16 0 -1 13 -23 0 4 -7 -18 0 -19 20 -15 0 -2 -6 17 0 -12 6 -20 0 -16 -8 -17 0 -18 5 11 0 5 16 5 0 -8 -6 12 0 
71 80 44 65 43 45 77 90 8 50 99 19 56 74 3 22 56 46 6 14 70 34 50 50 0 10 -7 8 0 -6 14 -15 0 1 -17 20 0 3 4 -13 0 -14 -17 7 0 13 -11 16 0 14 4 -5 0 22 -4 24 0 -6 8 18 0 -4 20 -6 0 -16 24 -21 0 8 -14 13 0 23 -19 -13 0 -8 -23 24 0 -18 16 6 0 18 -19 7 0 -19 -24 -7 0 23 21 1 0 -2 -18 -15 0 8 5 -10 0 23 -14 -5 0 2 -3 17 0 -16 -3 14 0 1 -12 4 0 -24 -1 8 0 -9 -17 5 0 18 -23 -24 0 18 -21 -14 0 -6 -14 21 0 -6 20 -18 0 
61 58 45 93 80 66 37 65 8 64 32 87 3 46 97 3 53 98 72 63 39 85 68 63 0 14 19 -3 0 4 21 -3 0 -2 4 -11 0 23 21 19 0 -12 -19 -22 0 20 -23 12 0 9 -4 -11 0 -9 21 8 0 -20 -3 4 0 12 22 -20 0 -16 -22 13 0 -23 -16 -19 0 15 -6 23 0 -2 3 -9 0 17 5 -11 0 -2 7 -8 0 -16 9 23 0 24 13 -16 0 -2 -5 -14 0 -17 10 -12 0 21 13 -20 0 14 -17 9 0 -8 12 21 0 -16 -4 9 0 17 -18 2 0 -7 -20 -5 0 -20 -15 20 0 19 3 -18 0 12 -5 -14 0 -5 -23 -21 0 
67 31 65 74 16 93 15 19 50 6 2 58 92 77 64 34 7 53 75 47 74 99 38 7 0 -16 6 -23 0 10 -5 -7 0 6 -23 -10 0 5 -4 10 0 -5 -13 -19 0 -12 -17 -2 0 17 -14 -1 0 12 20 7 0 19 -15 13 0 -2 9 -22 0 -6 -9 7 0 -8 13 -18 0 9 6 -16 0 -18 -22 18 0 -1 18 15 0 -14 -21 -2 0 -19 -16 -10 0 -23 6 17 0 -20 10 7 0 8 12 21 0 -23 10 6 0 -16 14 17 0 -14 -20 10 0 5 -18 17 0 -21 16 -4 0 -11 -19 3 0 -19 -20 -1 0 -14 -22 15 0 10 18 -8 0 -23 17 16 0 
28 11 6 71 24 68 63 62 93 79 14 65 22 31 14 51 16 32 66 13 59 23 32 78 0 -20 22 16 0 -1 -7 -2 0 -21 24 10 0 -22 15 10 0 23 15 -21 0 18 20 21 0 12 -10 14 0 -24 11 -10 0 7 19 14 0 -3 -7 -20 0 19 -12 8 0 -23 -10 9 0 -23 15 -11 0 -19 -13 7 0 -18 15 -5 0 22 21 -12 0 -3 23 2 0 -9 8 5 0 8 -4 -14 0 -4 11 10 0 4 7 10 0 -20 -19 21 0 24 -17 -3 0 -7 9 23 0 4 7 -2 0 -13 -23 8 0 -24 -15 7 0 16 -19 -2 0 -7 14 22 0 -21 -19 -24 0 
23 56 26 60 56 40 19 31 79 79 25 21 6 73 64 44 14 85 2 52 74 43 45 54 0 3 -14 -13 0 -17 -8 -18 0 -22 4 -8 0 3 1 -23 0 -16 -8 1 0 4 16 -4 0 -5 -21 -24 0 21 17 -5 0 6 -14 6 0 13 -23 6 0 -20 -8 23 0 -16 23 9 0 -16 -17 24 0 21 -4 18 0 -8 -5 -14 0 1 -21 3 0 12 -14 -13 0 -21 -2 18 0 -16 10 -24 0 9 -14 -2 0 -20 -16 15 0 9 -20 7 0 3 -6 -10 0 6 -13 -6 0 -19 -12 19 0 -22 6 -4 0 -11 -23 21 0 10 -1 -22 0 -21 -17 -10 0 -8 1 15 0 
5 92 73 94 26 64 82 44 78 40 36 54 23 13 46 15 84 15 98 20 22 54 30 27 0 20 -22 7 0 16 -12 18 0 13 -21 24 0 21 -17 -15 0 8 4 19 0 9 2 -21 0 -13 -14 -17 0 -5 2 -17 0 15 10 17 0 -12 1 20 0 -21 3 2 0 -6 -11 21 0 19 -8 1 0 13 21 13 0 7 20 7 0 -17 -2 10 0 18 -24 2 0 -7 -13 -8 0 -14 12 2 0 -7 9 22 0 1 2 10 0 13 18 23 0 1 7 -18 0 -10 -1 10 0 -14 -18 -2 0 4 -14 5 0 24 9 13 0 20 -19 10 0 15 12 8 0 9 20 -10 0 
10 34 36 59 23 44 5 38 72 29 71 1 24 26 25 66 19 46 82 93 33 13 51 80 0 -17 5 -14 0 18 11 21 0 20 15 5 0 -7 -22 -14 0 17 24 -20 0 -17 5 -8 0 2 8 -17 0 -4 23 1 0 -8 20 15 0 -20 5 24 0 -18 -9 14 0 2 7 17 0 -6 -22 -20 0 -9 -8 -16 0 24 4 1 0 17 -22 12 0 20 -16 -7 0 16 3 20 0 -17 -18 24 0 5 -20 -3 0 -2 -14 5 0 -18 22 -17 0 -8 11 4 0 21 -10 -6 0 16 -5 23 0 -17 -22 6 0 18 -20 5 0 2 -23 -9 0 20 8 -24 0 22 2 -22 0 
91 23 86 4 50 31 46 31 32 9 33 64 16 38 88 66 73 12 63 84 48 74 16 31 0 11 -6 19 0 4 1 21 0 -3 -21 3 0 -14 6 -7 0 5 -17 -18 0 11 -21 8 0 2 4 -7 0 -17 5 -19 0 -4 7 2 0 -1 -9 24 0 -14 9 3 0 -15 10 20 0 17 10 -12 0 22 24 11 0 21 7 -15 0 -17 -19 -7 0 17 -20 -23 0 3 -19 -9 0 13 -4 17 0 4 13 -14 0 -9 8 -13 0 -3 -4 -23 0 21 -13 14 0 1 -9 24 0 2 -5 -11 0 14 24 -13 0 19 -1 4 0 16 -15 24 0 -8 -15 -19 0 8 -24 -10 0 
22 71 96 29 32 28 32 42 63 49 43 10 75 66 86 50 33 13 14 4 32 48 23 67 0 -13 -7 -14 0 5 -15 -7 0 -15 7 14 0 23 -3 2 0 17 -19 2 0 6 8 -20 0 -5 -6 20 0 18 5 23 0 13 -15 -20 0 -12 -8 -23 0 -13 10 12 0 -4 10 19 0 -7 6 -18 0 -15 -14 2 0 19 -6 -24 0 13 7 -9 0 -3 9 12 0 -9 -14 -12 0 -9 -5 -7 0 22 11 -2 0 22 -6 -21 0 23 5 20 0 12 13 -8 0 -2 8 6 0 -17 -23 9 0 16 -8 12 0 11 9 -16 0 24 12 20 0 10 -22 21 0 4 2 14 0 
