p cnf 15 20
82 85 4 1 80 96 26 95 74 43 60 24 29 78 58 0 1 -2 -8 0 3 9 -15 0 -7 15 -14 0 2 -10 -11 0 15 9 7 0 3 9 -8 0 -11 4 -8 0 5 -11 10 0 4 -1 15 0 1 13 -8 0 -9 -4 13 0 -10 6 -4 0 -7 15 -1 0 -12 4 3 0 -9 1 -11 0 -8 -3 11 0 -15 14 -7 0 -2 8 -13 0 5 -3 4 0 11 7 10 0 
13 77 94 62 45 64 8 34 96 61 86 54 92 88 93 0 -2 8 10 0 14 -1 12 0 -3 13 -15 0 8 11 9 0 11 4 -6 0 -8 -5 -8 0 -13 5 -6 0 8 5 -3 0 -5 -2 6 0 9 -3 6 0 8 -6 4 0 -3 -14 15 0 -5 2 -1 0 13 -14 -15 0 5 10 13 0 -8 7 -12 0 14 12 5 0 4 11 -4 0 8 6 13 0 8 2 15 0 
20 56 37 72 89 67 92 55 71 4 16 41 16 76 2 0 11 6 -13 0 6 8 -10 0 11 -7 9 0 3 12 14 0 12 15 4 0 -15 10 -1 0 -5 11 -12 0 -8 1 7 0 -4 -10 2 0 -12 4 -1 0 6 11 10 0 1 8 15 0 5 2 -12 0 7 13 -15 0 -5 11 9 0 1 12 4 0 -8 2 -9 0 -6 -7 -13 0 8 5 -8 0 -1 -2 -12 0 
76 20 72 26 78 45 15 75 87 69 53 77 80 53 84 0 6 -11 14 0 5 -14 -6 0 13 -2 -8 0 -9 -15 -12 0 11 -14 7 0 -14 -5 -14 0 -9 12 -1 0 15 -7 -14 0 -11 -14 11 0 1 12 -3 0 -14 11 2 0 -10 5 -1 0 -7 14 -4 0 8 4 5 0 -7 -4 -3 0 12 -13 14 0 -8 14 -8 0 -14 -15 10 0 2 12 15 0 12 1 4 0 
100 2 85 34 95 83 34 38 60 52 6 82 34 82 97 0 13 12 14 0 3 12 -13 0 11 4 6 0 5 -15 -10 0 -14 15 11 0 4 -5 14 0 4 -12 3 0 -1 -6 2 0 7 13 -1 0 12 -15 9 0 -8 -3 14 0 10 8 15 0 9 -13 6 0 3 14 1 0 -8 -3 -2 0 -5 -3 -7 0 3 -13 -9 0 2 -8 -6 0 7 8 14 0 -10 12 5 0 
96 5 36 89 36 23 86 78 2 35 16 31 59 35 19 0 10 13 -1 0 -12 13 15 0 -9 6 -15 0 -3 15 -2 0 -8 5 2 0 -13 14 3 0 4 14 13 0 -2 -4 8 0 1 -6 -14 0 2 -15 9 0 11 -8 -3 0 2 -1 14 0 -4 6 -9 0 -15 -14 -8 0 11 2 6 0 3 -15 8 0 4 -14 -7 0 -8 -11 -1 0 2 -12 -4 0 6 5 -2 0 
27 85 77 49 24 15 52 33 64 27 26 55 54 83 15 0 14 -13 -3 0 7 4 -15 0 3 10 -3 0 -8 -3 5 0 -14 5 -15 0 -12 -11 13 0 2 14 -13 0 -14 -7 -5 0 -6 3 1 0 -6 -4 12 0 -1 -5 4 0 6 -11 -6 0 -9 -8 -3 0 -14 -7 1 0 -8 4 -7 0 5 8 1 0 2 14 2 0 4 6 -1 0 7 -13 -14 0 -6 7 -10 0 
100 19 46 18 84 78 7 77 68 7 45 98 15 73 85 0 8 -5 14 0 3 2 -10 0 -13 14 6 0 2 -15 9 0 14 12 7 0 3 -11 12 0 1 -4 -5 0 6 -7 -4 0 10 -14 -13 0 -6 -1 -15 0 5 -12 7 0 -15 -13 -8 0 -14 10 -2 0 -9 13 -10 0 13 -15 -8 0 -7 6 -13 0 7 12 10 0 -4 11 15 0 5 -2 13 0 7 2 7 0 
54 5 81 98 87 54 90 11 93 48 71 73 37 26 95 0 9 -15 -13 0 11 -4 7 0 11 -13 2 0 12 4 1 0 -12 -10 -6 0 5 -4 -5 0 11 12 -11 0 9 -6 2 0 -12 4 -6 0 -5 12 5 0 -6 2 8 0 14 2 5 0 -10 11 -7 0 -6 -2 5 0 1 -14 -15 0 12 -6 12 0 -15 -5 7 0 -2 15 -14 0 -8 3 4 0 8 10 -3 0 
3 92 33 14 93 43 38 52 79 59 88 17 54 31 11 0 12 -15 4 0 -7 12 5 0 -2 -6 7 0 1 -2 10 0 11 -10 5 0 -1 11 4 0 10 8 13 0 -4 -1 11 0 -14 5 -6 0 -4 -8 1 0 -4 -2 -12 0 -9 -13 14 0 -11 -14 15 0 6 -4 -3 0 -2 -1 3 0 15 -9 -15 0 -8 3 15 0 7 9 14 0 -4 3 -6 0 -3 4 13 0 
